id,categoryname,categoryorder,categorytype,lastmodified,lastmodby
"1","Company Information","50","Articles","8/6/2002 12:00:00 AM",""
"2","Checkout Process","20","Articles","8/6/2002 12:00:00 AM",""
"3","Home / Welcome Pages","10","Articles","8/6/2002 12:00:00 AM",""
"4","Affiliate System","70","Articles","8/6/2002 12:00:00 AM",""
"5","Order Finished","30","Articles","8/6/2002 12:00:00 AM",""
"6","Other Articles","40","Articles","8/6/2002 12:00:00 AM",""
"7","Sample Articles","90","Articles","8/6/2002 12:00:00 AM",""
"8","Reserved For Future Use","80","Articles","8/6/2002 12:00:00 AM",""
"9","Order Status","10","Help","8/6/2002 12:00:00 AM",""
"10","My Account","20","Help","8/6/2002 12:00:00 AM",""
"11","Shipping and Returns","30","Help","8/6/2002 12:00:00 AM",""
"12","International Shipping","40","Help","8/6/2002 12:00:00 AM",""
"13","Guarantees","50","Help","8/6/2002 12:00:00 AM",""
"14","Pricing and Billing","60","Help","8/6/2002 12:00:00 AM",""
"15","Buyer's Guide","70","Help","8/6/2002 12:00:00 AM",""
"17","Additional Support","90","Help","8/6/2002 12:00:00 AM",""
"19","Donations","60","Articles","",""
