id,text
"1","First Name"
"2","Last Name"
"3","Company"
"4","Address"
"5","City"
"6","Country"
"7","State / Province"
"8","Zip / Postal Code"
"9","Phone Number"
"10","Fax"
"11","Type Of Address"
"12","Residential"
"13","Business"
"14","Copy Billing To Shipping"
"15","My Saved Billing Addresses"
"16","My Saved Shipping Addresses"
"17","My Saved Payment Methods"
"18","Email Address"
"19","Subtotal"
"20","Total"
"21","Shipping &amp; Handling"
"22","Gift Wrap"
"23","Gift Certificate"
"24","Payment Method"
"25","Order Comments"
"26","No payment necessary since grand total is {0}"
"27","Your order subtotal (before shipping &amp; tax) must be at least {0}. Please increase the quantity of the items in your cart, or go back and add additional items to your cart."
"28","This online checkout system has a maximum order total of {0}. If you'd like to place an order over this amount, please call or email us. Thank you."
"29","NOTE: Your actual cost is {0}.  All other currencies displayed on this page are for your convenience only, and are not actual costs. Exchange rates may vary."
"30","recalculate shipping & tax"
"31","remove selected"
"32","Bank Name"
"33","Account Type"
"34","CHECKING"
"35","SAVINGS"
"36","Routing Number"
"37","Account Number"
"38","Check Number"
"39","MICR"
"40","Is usually located between the <img src=""{0}"" width=""14"" height=""18"" align=""absmiddle""> symbols on your check."
"41","Typically comes before the <img src=""{0}"" width=""10"" height=""12"" align=""absmiddle""> symbol. Its exact location and number of digits varies from bank to bank."
"42","Is usually located at the top and bottom of your check."
"43","The entire line of numbers at the bottom of your check (which includes the routing number, account number, and check number)."
"44","Keep my payment method on file for easy checkout on future orders."
"45","Purchase Order Number"
"46","Credit / Debit Card Type"
"47","Credit / Debit Card Number"
"48","Name on Card"
"49","Security Code"
"50","Expiration Date"
"51","01 - January"
"52","02 - February"
"53","03 - March"
"54","04 - April"
"55","05 - May"
"56","06 - June"
"57","07 - July"
"58","08 - August"
"59","09 - September"
"60","10 - October"
"61","11 - November"
"62","12 - December"
"63","Choose Month"
"64","Choose Year"
"65","Issue&nbsp;Date:"
"66","Issue&nbsp;Number:"
"67","Click here for help"
"68","Code"
"69","Name"
"70","Price"
"71","Qty"
"72","Need to make changes to this order?"
"73","Edit items in cart"
"74","Apply a coupon"
"75","Apply a Gift Certificate"
"76","Sign Out"
"77","If you have a Gift Certificate code enter it here:"
"78","To apply a gift certificate, first create an account.<br /><b>STEP 1:</b> Fill in the ""e-mail address"" and ""password"" fields above.<br /><b>STEP 2:</b> Click the following button:"
"79","<b>STEP 3:</b> After you've done that, you will be able to enter your gift certificate code here."
"80","(Optional)"
"81","My Billing Address"
"82","A Different Address"
"83","Ship To"
"84","Then, Select State"
"85","Please fill in the {0} field {1}."
"86","Billing Address"
"87","Shipping Address"
"88","We could not validate your shipping address. Please check that it is correct and resubmit. Some suggested addresses"
"89","""{0}"" and ""Type it again"" must be the same, please try again."
"90","Please choose a shipping method below."
"91","Security Code must be 4 digits or less."
"92","Create a new account..."
"93","Credit / Debit Card Expiration Month"
"94","Credit / Debit Card Expiration Year"
"95","{0} must be numbers only."
"96","Please choose a valid {0} ""{1}"" for the country you selected of ""{2}"" from the list below."
"97","Please login to continue..."
"98","Apply this payment method change to ALL my existing orders."
"99","Choose the {0} you wish to use:"
"100","Edit your account..."
"101","New to {0} Get started below..."
"102","My e-mail&nbsp;address is:&nbsp;"
"103","Type it again:"
"104","<b><font size=""2"" color=""#CC8811"">Protect your information with a Password</font><br> </b>&nbsp;This will be your only {0} password."
"105","Enter a new password:"
"106","Edit this billing address..."
"107","Enter a new billing address..."
"108","Or enter a new billing address below..."
"109","Edit this shipping address..."
"110","Enter a new shipping address..."
"111","Or enter a new shipping address below..."
"112","Is this address also your billing address?"
"113","Yes"
"114","No"
"115","(If not, we'll ask you for it in a moment)"
