productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,lastmodby,ischildofproductcode,ischildofproductcode_productid,options_cloned_from_productid,photos_cloned_from_productid,share_stockstatus_with_productid,productpopularity,homepage_section,autodropship,donotallowbackorders,warehouselocation,warehouseaisle,warehousebin,warehousecustom,upc_code,productkeywords,productnameshort,productweight,freeshippingitem,minqty,maxqty,recurringstartprice,recurringstartduration,recurringprice,recurringhowoften,recurringduration,allowpriceedit,productprice,listprice,saleprice,taxableproduct,selectedoptionids,giftwrapcost,downloadfile,availability,metatag_title,metatag_description,discountedprice_level1,discountedprice_level2,discountedprice_level3,discountedprice_level4,discountedprice_level5,photo_subtext,photo_alttext,discountedrecurringprice_level1,discountedrecurringprice_level2,discountedrecurringprice_level3,discountedrecurringprice_level4,discountedrecurringprice_level5,fixed_shippingcost,fixed_shippingcost_outside_localregion,uses_product_keytypes,price_subtext,price_subtext_short,listprice_name,productprice_name,saleprice_name,hide_yousave,hide_freeaccessories,setupcost,setupcost_name,discountedsetupcost_level1,discountedsetupcost_level2,discountedsetupcost_level3,discountedsetupcost_level4,discountedsetupcost_level5,setupcost_title,stockreorderqty,warehouses,affiliate_commissionable_value,addtocartbtn_replacement_text,book_isbn,productcondition,estship_ground,estship_2ndday,estship_overnight,customfield1,customfield2,customfield3,customfield4,customfield5,shoppingdotcom_category,yahoo_category,yahoo_medium,productmanufacturer,hide_when_outofstock,stocklowqtyalarm,addtopo_now,lastpo_qty,lastpo_date,howtogetsaleprice,inv_verify_qtyonhand,inv_lastverified,enablemultichildaddtocart,vendor_price,enableoptions_inventorycontrol,photourl_small,photourl_large,private_section_customers_only,quickbooks_item_accnt,quickbooks_item_assetaccnt,quickbooks_item_cogsaccnt,vat_percentage,recurring_pricing_text,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription,productfeatures,techspecs,extinfo,orderfinished_note,metatag_keywords,productdescription_abovepricing,custom_metatags_override,ean,google_product_category,google_size,google_color,google_gender,google_age_group,google_availability,google_pattern,google_material,estdaystoship,google_unique_identifier_exists,google_adult_product,google_sizetype,google_sizesystem,nonshippable,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,createddate,mpn,hazardousproduct,avalarataxcode,createdutc,modifiedutc,unitofmeasure,categoryids,optionids,accessories,freeaccessories,producturl,photourl,categorytree,numproductssharingstock,photoseed
"10005","","Lubricant Oiler","","","","4","8/30/2023 9:25:00 AM","","","","13244","","","","","","","","N","Y","","","","","","","","1","N","","","","","","","","N","11.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","10005 Lubricant Oiler","","","","","","","","","","","","","","","","","","","","","","","","","","","","4/7/2021 11:55:54 AM","","","","","","","73,1987","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=10005","http://www.factor2.com/v/vspfiles/photos/10005-1.jpg","Lab Supplies / Tools","0",""
"11016M","","Needle Tool","","","","7","8/30/2023 9:25:00 AM","","","","13244","","","","","","","","N","Y","","","","","","","","1","N","","","","","","","","","2.25","","","","","","","Usually Ships in 24 to 48 Hours","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Great for cutting, piercing, incising, scoring, and finishing fine details.","","","","","","","","","","","","","","","","","","","","","","","","","","","","8/29/2023 10:02:37 AM","","","","2023-08-29 17:02:37.42 +00:00","2023-08-29 17:02:37.42 +00:00","","73,1987,1983,17","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=11016M","http://www.factor2.com/v/vspfiles/photos/11016M-1.jpg","Lab Supplies / Tools","0",""
"11017N","","Wire Clay Cutter","","","","21","7/10/2024 11:57:00 AM","","","","13244","","","","","","","","N","Y","","","","","","","","1","N","","","","","","","","","3.99","","","","","","","Usually Ships in 24 to 48 Hours","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","This wire clay cutter is great for slicing and cutting lump clay. Easy to use, it will not tangle easily<br /><ul><li>Features hardwood 3"" toggle handles</li><li>18"" long cord</li><li>Fine quality stainless steel wire is long-lasting and rust-resistant</li></ul>(DISCONTINUED WHEN GONE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","8/29/2023 10:09:05 AM","","","","2023-08-29 17:09:04.73 +00:00","2023-08-29 17:09:04.73 +00:00","","73,1987,1988,3,1985,1983,17","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=11017N","http://www.factor2.com/v/vspfiles/photos/11017N-1.jpg","Lab Supplies / Tools","0",""
"1192H","","Fettling Knife","","","","2","8/30/2023 9:26:00 AM","","","","13244","","","","","","","","N","Y","","","","","","","","1","N","","","","","","","","","4","","","","","","","Usually Ships in 24 to 48 Hours","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Used for trimming, carving and sculpting. Great tool for pottery, ceramic etc.<br />","","","","","","","","","","","","","","","","","","","","","","","","","","","","8/24/2023 3:46:27 PM","","","","2023-08-24 22:46:27.20 +00:00","2023-08-24 22:46:27.20 +00:00","","73,1988,3,1983,17","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=1192H","http://www.factor2.com/v/vspfiles/photos/1192H-1.jpg","Lab Supplies / Tools","0",""
"20GC","","Convection Laboratory Oven","","","Y","","5/14/2024 9:49:00 AM","","","","9","","","","","","","4","N","N","","","","","","20GC","Convection Oven","125","N","","","","","","","","N","820","","","","","","","","Laboratory Convection Oven","This gravity convection oven is designed to consistently and evenly distribute heat throughout the entire surface of the mold.","","","","","","","Convection Laboratory Oven","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Gravity convection mold oven.","This gravity convection oven is designed to consistently and evenly distribute heat throughout the entire surface of the mold placed inside the oven.  Exteriors are painted light gray and have a hard, scratch-resistant hammered finish.  Doors open with high impact thermoplastic handle. Cabinets have heavy steel double wall construction.  Work space is insulated from the outer cabinet with one inch of high density mineral wool, and interiors are made of corrosive resistant aluminium steel. Temperature uniformity is greatly improved by a perforated heat shield which absorbs radiant heat and distributes it more evenly.","","<div><span style=""FONT-WEIGHT: bold; TEXT-DECORATION: underline"">20GC Model</span></div>
<div><span style=""TEXT-DECORATION: underline""></span>Inside Dimension: 13W x 13H x 13D inches</div>
<div>Outside Dimensions: 15W x 21H x 15D inches</div>
<div>Cubic Feet :1.27</div>
<div>800 Watts </div>
<div>6.95 Amps Heating Range </div>
<div>225 degrees Centigrade/ 437 degrees Farenheit</div>
<div> </div>
<div><span style=""background-color: initial;"">* Shipping by cargo truck only so shipping times and shipping rates vary.  You will be contacted with final shipping costs.</span></div>","","","convection, oven, coloring silicone, heat cure, Convection Laboratory Oven","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114,8","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=20GC","http://www.factor2.com/v/vspfiles/photos/20GC-1.jpg","Equipment > Ovens","0",""
"21.288","","Wax Pot","","","Y","1","3/11/2024 12:02:00 PM","","","","13244","","","","","","","","N","Y","","","","","","21.288","Wax Pot","6","N","","","","","","","","N","299.95","","","","","","","Usually Ships in 24 to 48 Hours","Wax Pot","Thermostatically controlled electric pot keeps wax at a controlled temperature.","","","","","","","21.288:  Wax Pot","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Thermostatically controlled electric pot.","Thermastatically controlled electric pot.  Keeps wax at a controlled temperature.  Use injection wax for best results, but any wax will work. This unit will keep your wax at a constant temperature for continual usage.

Capacity 1 Pint.","","","","","Wax Pot, Thermastatically controlled electric pot. Keeps wax at a controlled temperature. Use injection wax for best results, but any wax will work. This unit will keep your wax at a constant temperature for continual usage. Capacity 1 Pint.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8,17,10,25,3","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=21.288","http://www.factor2.com/v/vspfiles/photos/21.288-1.jpg","Equipment","0","1410876363"
"30-3046","","Plaster Bandages 6 inch by 5 yards","","","","","9/29/2025 2:21:00 PM","","","","14860","","","","","","","","N","N","","","","","","303046","Plaster Bandages 6 inch by 5 yards","1","N","","","","","","","","N","6.95","","","","","","","","Plaster Bandages 6 inch by 5 yards","Plaster Bandages 6 inch by 5 yards, Extra fast curing plaster bandage 6 inch by 5 yard rolls. Perfect for body casting and making a rigid backing for silicone molds.","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Extra fast curing plaster bandage 6 inch by 5 yard rolls. Perfect for body casting and making a rigid backing for silicone molds.","","","","","Plaster Bandages 6 inch by 5 yards, Extra fast curing plaster bandage 6 inch by 5 yard rolls. Perfect for body casting and making a rigid backing for silicone molds.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34,7,107,1988,25,395,106,10,73","675","","","https://www.factor2.com/ProductDetails.asp?ProductCode=30-3046","http://www.factor2.com/v/vspfiles/photos/30-3046-1.gif","Impression Materials","0",""
"30540","","BUFFALO #30540  NO. 6L LEFT TAPER CHUCK","","","","4","5/15/2023 3:38:00 PM","","","","13244","","","","","","","","N","Y","","","","","","30540","","2","N","","","","","","","","N","12.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","12/5/2018 12:00:00 AM","N","","N","","","","","","","","","","","","","N","","N","N","","","NO. 6L LEFT TAPER CHUCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=30540","http://www.factor2.com/v/vspfiles/photos/30540-1.jpg","Discontinued Items","0","1684164857"
"30GC","","Convection Laboratory Oven","","","","","5/14/2024 9:49:00 AM","","","","9","","","","","","","4","N","N","","","","","","30GC","Convection Oven","180","N","","","","","","","","N","795","","","","","","","","Laboratory Convection Oven","This gravity convection oven is designed to consistently and evenly distribute heat throughout the entire surface of the mold.","","","","","","","convection oven coloring silicone heat cure","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Gravity convection mold oven.","This gravity convection oven is designed to consistently and evenly distribute heat throughout the entire surface of the mold placed inside the oven.  Exteriors are painted light gray and have a hard, scratch-resistant hammered finish.  Doors open with high impact thermoplastic handle. Cabinets have heavy steel double wall construction.  Work space is insulated from the outer cabinet with one inch of high density mineral wool, and interiors are made of corrosive resistant aluminium steel. Temperature uniformity is greatly improved by a perforated heat shield which absorbs radiant heat and distributes it more evenly.","","<div><span style=""font-weight: bold; text-decoration: underline; background-color: initial;"">30GC Model</span></div>
<div><span style=""TEXT-DECORATION: underline""></span>Inside Dimension: 18W x 16H x 12D inches</div>
<div>Outside Dimensions: 20W x 25H x 14D inches</div>
<div>Cubic Feet: 2.0</div>
<div>1200 Watts </div>
<div>10.43 Amps Heating Range </div>
<div>225 degrees Centigrade/ 437 degrees Farenheit</div>
<div> </div>
<div><span style=""background-color: initial;"">* Shipping by cargo truck only so shipping times and shipping rates vary.  You will be contacted with final shipping costs.</span></div>","","","convection, oven, coloring silicone, heat cure, Convection Laboratory Oven","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114,8","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=30GC","http://www.factor2.com/v/vspfiles/photos/30GC-1.jpg","Equipment > Ovens","0",""
"40040","","Minim Felt Cone Buff 5C","","","","13","10/24/2022 9:33:00 AM","","","","13244","","","","","","","","N","N","","","","","","","","1","N","","","","","","","","N","6.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Minim Felt Cone Buff 5C","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/24/2021 11:19:48 AM","","","","","","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=40040","http://www.factor2.com/v/vspfiles/photos/40040-1.jpg","Lab Supplies / Tools","0",""
